#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B3CF17
#Date Time: 2022-04-03 10:53:59.302
#Sample rate: 613497Hz
#Samples: 8192
#Trigger: Source: Manual Condition: Rising
#D-: Range: 2 V/div Offset: 4 V Attenuation: 1 X Sample Mode: Average
#ID: Range: 2 V/div Offset: -4 V Attenuation: 1 X Sample Mode: Average

#
#Time (s)	D- (V)	ID (V)
-0.01317648	0.00845644634543774	-0.002625438795854418
-0.01317485	0.01212776462651455	-0.01373619394259588
-0.01317322	0.01212776462651455	0.001078146253061796
-0.01317159	0.008456446345439409	-0.006329023844768503
-0.01316996	0.01212776462651455	-0.002625438795857786
-0.01316833	0.01212776462651455	-0.006329023844770187
-0.0131667	0.01212776462651455	-0.006329023844770187
-0.01316507	0.01579908290759136	0.004781731301978009
-0.01316344	0.008456446345439409	0.00107814625306348
-0.01316181	0.01212776462651288	0.004781731301976325
-0.01316018	0.01212776462651455	0.001078146253061796
-0.01315855	0.01947040118866315	0.001078146253056743
-0.01315692	0.00845644634543774	-0.01003260889368596
-0.01315529	0.00845644634543774	-0.006329023844771872
-0.01315366	0.00845644634543774	-0.006329023844770187
-0.01315203	0.01579908290759136	0.001078146253061796
-0.0131504	0.01579908290759136	0.001078146253061796
-0.01314877	0.004785128064360933	0.001078146253061796
-0.01314714	0.01212776462651288	-0.002625438795857786
-0.01314551	0.00845644634543774	-0.01003260889368596
-0.01314388	0.00845644634543774	0.001078146253056743
-0.01314225	0.00845644634543774	0.001078146253061796
-0.01314062	0.00845644634544108	0.001078146253060112
-0.01313899	0.01579908290758802	-0.002625438795852734
-0.01313736	0.00845644634543774	-0.01003260889368596
-0.01313573	0.01579908290758802	-0.002625438795856102
-0.0131341	0.00845644634543774	-0.006329023844770187
-0.01313247	0.01212776462651121	0.001078146253055059
-0.01313084	0.01212776462650453	-0.006329023844763451
-0.01312921	0.001113809783285014	0.001078146253061796
-0.01312758	0.004785128064359263	-0.0100326088936809
-0.01312595	0.01212776462651455	-0.002625438795854418
-0.01312432	0.008456446345439409	0.001078146253060112
-0.01312269	0.01212776462651455	-0.002625438795854418
-0.01312106	0.00845644634544108	-0.006329023844766819
-0.01311943	0.00845644634544108	-0.002625438795857786
-0.0131178	0.01212776462651455	-0.006329023844770187
-0.01311617	0.004785128064364272	0.001078146253058428
